Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1133692  Y 1102236
X 1144775  Y 1101976
X 1148070  Y 1081728
X 1142657  Y 1003181
X 1164484  Y 1003803
X 1169594  Y 1032775
X 1172712  Y 1037937
X 1172535  Y 1045318
X 1173744  Y 1053661
X 1170086  Y 1087141
X 1158255  Y 1097814
X 1170437  Y 1109275
X 1167850  Y 1124933
X 1163921  Y 1149669
X 1163940  Y 1161956
X 1170708  Y 1167484
X 1173374  Y 1170716
X 1172964  Y 1180181
X 1177830  Y 1180232
X 1165972  Y 1197996
X 1166188  Y 1225169
X 1170161  Y 1247866
X 1170043  Y 1252011
X 1155472  Y 1254480
X 1170070  Y 1256307
X 1170019  Y 1260767
X 1164614  Y 1264492
X 1179303  Y 1272208
X 1168992  Y 1351251
X 1162751  Y 1352598
X 1162944  Y 1355633
X 1167933  Y 1359956
X 1161023  Y 1374035
X 1159964  Y 1387929
X 1187003  Y 1296724
X 1187118  Y 1289311
X 1183866  Y 1284035
X 1184062  Y 1280311
X 1217909  Y 1275807
X 1216244  Y 1217401
X 1216614  Y 1200397
X 1181665  Y 1180271
X 1217169  Y 1171011
X 1189629  Y 1168980
X 1186507  Y 1158161
X 1186311  Y 1147862
X 1188791  Y 1145440
X 1216429  Y 1141811
X 1182492  Y 1139157
X 1186295  Y 1139125
X 1186346  Y 1115559
X 1217169  Y 1113901
X 1184562  Y 1094440
X 1218460  Y 1071578
X 1211255  Y 1049031
X 1183901  Y 1022972

Drill: .016  Tool: 2  Feed: 0  Speed: 0
X 1047842  Y 1150185
X 1052637  Y 1154681
X 1051291  Y 1163681
X 1054212  Y 1171700
X 1054440  Y 1183401
X 1054287  Y 1191874
X 1048141  Y 1202145
X 1054665  Y 1202295
X 1054814  Y 1212043
X 1047992  Y 1212417
X 1047992  Y 1223740
X 1055338  Y 1230263
X 1088287  Y 1224188
X 1100011  Y 1223948
X 1055488  Y 1222015
X 1099791  Y 1218062
X 1088429  Y 1217311
X 1083968  Y 1209523
X 1095267  Y 1206062
X 1101590  Y 1202472
X 1089590  Y 1202397
X 1084043  Y 1196551
X 1095814  Y 1196098
X 1089740  Y 1189503
X 1101437  Y 1189200
X 1095740  Y 1184476
X 1083968  Y 1184177
X 1089440  Y 1177881
X 1100838  Y 1177881
X 1084118  Y 1172933
X 1095066  Y 1172629
X 1087866  Y 1167606
X 1079618  Y 1167606
X 1099637  Y 1167307
X 1083519  Y 1163035
X 1092665  Y 1163035
X 1059913  Y 1162779
X 1098440  Y 1157259
X 1079094  Y 1156811
X 1086893  Y 1156736
X 1061562  Y 1155208
X 1103440  Y 1153539
X 1080519  Y 1150137
X 1092665  Y 1149838
X 1059011  Y 1149507
X 1101795  Y 1144708
X 1101220  Y 1134389
X 1100944  Y 1126641
X 1100944  Y 1119811
X 1100543  Y 1111385
X 1103437  Y 1105055
X 1098685  Y 1101547
X 1098555  Y 1093846
X 1090582  Y 1089295
X 1098582  Y 1084244
X 1090232  Y 1077555
X 1099007  Y 1077106
X 1098629  Y 1069610
X 1090232  Y 1069307
X 1118350  Y 1069232
X 1126897  Y 1069232
X 1108527  Y 1069307
X 1126224  Y 1076657
X 1108905  Y 1076732
X 1117153  Y 1077031
X 1125275  Y 1083921
X 1117102  Y 1084094
X 1107653  Y 1084393
X 1117299  Y 1093397
X 1124874  Y 1093472
X 1107401  Y 1093921
X 1124503  Y 1101161
X 1107185  Y 1101401
X 1117409  Y 1101437
X 1120984  Y 1104858
X 1112759  Y 1104858
X 1121035  Y 1111086
X 1113807  Y 1111208
X 1106236  Y 1111322
X 1113937  Y 1119559
X 1106535  Y 1119598
X 1120185  Y 1119712
X 1113838  Y 1126161
X 1119838  Y 1126192
X 1106586  Y 1126480
X 1109397  Y 1134389
X 1119267  Y 1134437
X 1117271  Y 1142862
X 1109169  Y 1144897
X 1126255  Y 1149460
X 1117259  Y 1149610
X 1105862  Y 1149688
X 1121909  Y 1155610
X 1111712  Y 1156133
X 1125657  Y 1162283
X 1116885  Y 1162507
X 1106011  Y 1162507
X 1111035  Y 1167909
X 1121685  Y 1167984
X 1117185  Y 1172405
X 1105188  Y 1172555
X 1125433  Y 1172854
X 1110661  Y 1178255
X 1121610  Y 1178255
X 1127232  Y 1184177
X 1116059  Y 1184401
X 1105862  Y 1184629
X 1110811  Y 1189200
X 1122433  Y 1189653
X 1106614  Y 1196476
X 1116511  Y 1196850
X 1127082  Y 1196925
X 1111110  Y 1202322
X 1122283  Y 1202472
X 1106433  Y 1205456
X 1126027  Y 1207086
X 1116688  Y 1207818
X 1122484  Y 1218003
X 1111035  Y 1218732
X 1114066  Y 1225866
X 1127732  Y 1296003
X 1123433  Y 1301208
X 1125106  Y 1308515
X 1116937  Y 1314964
X 1125059  Y 1316350
X 1124102  Y 1323035
X 1127590  Y 1328145
X 1117799  Y 1328287
X 1178106  Y 1340803
X 1169460  Y 1340562
X 1135803  Y 1328334
X 1177322  Y 1324381
X 1132125  Y 1323177
X 1138811  Y 1323129
X 1163913  Y 1321015
X 1160740  Y 1317870
X 1166551  Y 1316094
X 1130311  Y 1311858
X 1162929  Y 1311173
X 1156102  Y 1310791
X 1172582  Y 1310503
X 1135515  Y 1307177
X 1168000  Y 1305062
X 1158822  Y 1304901
X 1174858  Y 1302236
X 1131937  Y 1301925
X 1163472  Y 1299122
X 1154192  Y 1297275
X 1168393  Y 1295503
X 1135232  Y 1291657
X 1154169  Y 1291248
X 1168803  Y 1285535
X 1134393  Y 1093618
X 1134574  Y 1084433
X 1134330  Y 1076582
X 1134771  Y 1069098
X 1209771  Y 1323944
X 1185700  Y 1323992
X 1201318  Y 1324232
X 1216551  Y 1328578
X 1192960  Y 1330917
X 1209677  Y 1332303
X 1187181  Y 1340374
X 1213972  Y 1340610
X 1195968  Y 1340708
X 1204996  Y 1340850
X 1191279  Y 1346468
X 1200496  Y 1346850
X 1209807  Y 1346850
X 1217354  Y 1348236
X 1211673  Y 1355732
X 1191850  Y 1355830
X 1202885  Y 1355830

Drill: .01969  Tool: 3  Feed: 0  Speed: 0
X 1199488  Y 1231023 X 1194763  Y 1231023
X 1215354  Y 1231023 X 1211811  Y 1231023
X 1199488  Y 1265039 X 1194763  Y 1265039
X 1215354  Y 1265039 X 1211811  Y 1265039

Drill: .02559  Tool: 4  Feed: 0  Speed: 0
X 1199094  Y 1236653
X 1199094  Y 1259409

Drill: .0374  Tool: 5  Feed: 0  Speed: 0
X 1071413  Y 1379582
X 1061413  Y 1379582
X 1101413  Y 1379582
X 1091413  Y 1379582
X 1081413  Y 1379582
X 1181102  Y 1379921
X 1111413  Y 1379582
X 1181102  Y 1369921
X 1181102  Y 1359921
X 1181102  Y 1349921
X 1131417  Y 1016780
X 1141417  Y 1016780
X 1151417  Y 1016780
X 1161417  Y 1016780

Drill: .05512  Tool: 6  Feed: 0  Speed: 0
X 1201700  Y 1308688

Drill: .06693  Tool: 7  Feed: 0  Speed: 0
X 1183590  Y 1308688

Drill: .12205  Tool: 8  Feed: 0  Speed: 0
X 1013779  Y 1013779
X 1013779  Y 1379921
X 1208661  Y 1379921
X 1208661  Y 1013779

End of Listing
